iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
GUY,South America,Guyana,2023-02-15,73052.0,90329.617,1298.0,1604.992,,,,,,0.682,,7435.047
HTI,North America,Haiti,2023-02-15,34076.0,2941.389,860.0,74.234,,,,,,0.51,,1653.173
HND,North America,Honduras,2023-02-15,471224.0,45167.297,11107.0,1064.617,,,,,,0.634,,4541.795
HKG,Asia,Hong Kong,2023-02-15,2876106.0,384051.09,13431.0,1793.463,,,,,,0.949,,56054.92
HUN,Europe,Hungary,2023-02-15,2194102.0,220129.937,48738.0,4889.788,,,,,,0.854,,26777.561
ISL,Europe,Iceland,2023-02-15,208921.0,560255.616,211.0,565.831,,,,,,0.949,,46482.958
IND,Asia,India,2023-02-15,44685727.0,31531.594,530757.0,374.518,,,,155.68,72.49,0.645,,6426.674
IDN,Asia,Indonesia,2023-02-15,6733478.0,24440.817,160878.0,583.946,,,,,,0.718,,11188.744
IRN,Asia,Iran,2023-02-15,7566043.0,85443.19,144789.0,1635.1,,,,,,0.783,,19082.62
IRQ,Asia,Iraq,2023-02-15,2465545.0,55410.332,25375.0,570.274,,,,,,0.674,,15663.986
IRL,Europe,Ireland,2023-02-15,1702523.0,338938.163,8629.0,1717.861,,,,,,0.955,,67335.293
IMN,Europe,Isle of Man,2023-02-15,38008.0,449617.905,116.0,1372.229,,,,,,,,
ISR,Asia,Israel,2023-02-15,4792601.0,507207.218,12244.0,1295.798,2.857,34.818,,,,0.919,,33132.32
ITA,Europe,Italy,2023-02-15,25519067.0,432252.028,187551.0,3176.813,,,,243.49,86.18,0.892,,35220.084
JAM,North America,Jamaica,2023-02-15,154065.0,54490.338,3500.0,1237.894,,,,,,0.734,,8193.571
JPN,Asia,Japan,2023-02-15,33041758.0,266569.632,71144.0,573.966,,,,307.46,84.43,0.919,,39002.223
JEY,Europe,Jersey,2023-01-29,,,,,,,,240.94,76.14,,,
JOR,Asia,Jordan,2023-02-15,1746997.0,154794.998,14122.0,1251.299,,,,,,0.729,,8337.49
KAZ,Asia,Kazakhstan,2023-02-15,1497449.0,77196.059,19067.0,982.936,,,,,,0.825,,24055.588
KEN,Africa,Kenya,2023-02-15,342874.0,6346.288,5688.0,105.28,,,,,,0.601,,2993.028
KIR,Oceania,Kiribati,2023-02-15,5012.0,38190.449,18.0,137.156,,,,,,0.63,,1981.132
KWT,Asia,Kuwait,2023-02-15,662858.0,155276.576,2570.0,602.031,,,,,,0.806,,65530.537
KGZ,Asia,Kyrgyzstan,2023-02-15,206611.0,31160.128,2991.0,451.089,,,,51.6,24.87,0.697,,3393.474
LAO,Asia,Laos,2023-02-15,218006.0,28953.671,758.0,100.671,,,,,,0.613,,6397.36
LVA,Europe,Latvia,2023-02-15,975716.0,527227.672,6247.0,3375.563,,,,,,0.866,,25063.846
